Font Name	lfHeight	tmHeight	tmAscent	tmDescent	tmInternalLeading	tmExternalLeading	units_per_EM	ascender	descender	height	version	xAvgCharWidth	sTypoAscender	sTypoDescender	sTypoLineGap	usWinAscent	usWinDescent	sxHeight	sCapHeight	Version	Ascender	Descender	Line_Gap	advance_Width_Max
FreeMono	1	2	2	0	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	2	2	2	0	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	3	3	2	1	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	4	4	3	1	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	5	5	4	1	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	6	6	5	1	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	7	7	6	1	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	8	8	6	2	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	9	9	7	2	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	10	10	8	2	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	11	11	9	2	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	12	12	10	2	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	13	13	10	3	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	14	14	11	3	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	15	15	12	3	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	16	16	13	3	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	17	17	14	3	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	18	18	14	4	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	19	19	15	4	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	20	20	16	4	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	21	21	17	4	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	22	22	18	4	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	23	23	18	5	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
FreeMono	24	24	19	5	0	0	1000	800	-200	1000	3	600	800	-200	0	800	200	417	563	65536	800	-200	0	600	
